# FlashMLX Autoresearch Optimization Log — 2026-04-01
# Hardware: Apple M1 Max 64GB
# Model: Qwen3-0.6B-4bit (mlx-community/Qwen3-0.6B-4bit)
# Baseline: 190.51 tok/s → Final: 247 tok/s (+30%)
# Keeps: 11 | Discards: 14 | Crashes: 0
# metric_direction: higher_is_better
iteration	commit	metric	delta	guard	status	description
0	ea67251	190.51	0.0	pass	baseline	initial state — 190.51 tok/s with Qwen3-0.6B-4bit
1	-	88.61	-101.90	-	discard	remove redundant mx.eval on cache states during prefill — cache eval is required for materialization
2	-	192.61	+2.10	pass	discard	overlap Metal compute with Python yield — noise, confirmation run showed 168 tok/s
3	-	188.65	-1.86	pass	discard	keep y as (1,1) shape — no measurable improvement, within noise
4	-	69.23	-121.28	-	discard	mx.compile decode step — severe regression, likely retracing due to mutable cache
5	41687ca	194.53	+4.02	pass	keep	switch KV cache to concatenation — simpler code, marginal improvement
6	72348a0	201.31	+10.80	pass	keep	use mx.async_eval to pipeline Metal compute with Python — median ~201 tok/s
7	-	106.37	-94.94	-	discard	async_eval for prefill — regression, prefill needs sync to materialize cache before next chunk
8	5c62447	201.63	+0.32	pass	keep	only compute lm_head on last token during generation — saves prefill compute
9	-	189.24	-12.39	pass	discard	pre-allocated KV buffers — slower than concat for these sizes
10	-	58.94	-142.37	pass	discard	batch RoPE for Q and K — massive regression from concat/split overhead
11	-	51.54	-149.77	pass	discard	call mx.fast SDPA directly — unexpected severe regression
12	19d5f47	202.30	+0.99	pass	keep	increase bench runs to 5 and warmup to 64 for stability
13	5de5e05	193.33	-8.97	pass	keep	single forward pass for small prompts — cleaner, within noise
14	fe6474c	202.66	+0.36	pass	keep	set 4GB Metal cache limit — slight improvement, good practice
15	8f2f3a1	226.50	+24.20	pass	keep	2-step graph batching — major improvement, ~225 tok/s median
16	1531c7f	234.48	+7.98	pass	keep	N=4 step graph batching — 234 tok/s, +23% from baseline
17	6a6d7c9	241.76	+7.28	pass	keep	N=8 step graph batching — 242 tok/s, +27% from baseline
18	6098ad2	246.82	+5.06	pass	keep	N=16 step graph batching — 247 tok/s, +30% from baseline
19	-	247.80	+0.98	pass	discard	N=32 — no improvement over N=16, diminishing returns
20	-	246.10	-0.72	pass	discard	squeeze vs slice — no difference
21	c7b76eb	245.77	-1.05	pass	keep	skip redundant slice for single-token decode — cleaner logic
22	-	246.33	-0.49	pass	discard	inline sampling — no improvement, worse readability
23	-	244.31	-2.51	pass	discard	N=12 — worse than N=16
24	0e5289e	246.16	-0.66	pass	keep	expose eval_batch_size parameter — API improvement, no perf change
25	-	246.99	+0.17	pass	discard	wired limit — no improvement
